[2026-06-16T20:22:34.131+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 8069, completion-tokens, 169, total-tokens, 8238, cost-ms, 5583, requestId, 02178161254993858495fca7b4b2c862697b10162207496dfa649, temperature, 0
[2026-06-16T20:54:16.704+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 71, total-tokens, 1470, cost-ms, 4330, requestId, 0217816144535679af49751528187ac6ba2ea329b7014377de2c6, temperature, 0
[2026-06-16T20:56:13.574+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 53, total-tokens, 1452, cost-ms, 7395, requestId, 021781614567566a0f109abdab33fe1ed279b0fa336a1f4d44b7a, temperature, 0
[2026-06-16T20:56:17.047+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 70, total-tokens, 1469, cost-ms, 3125, requestId, 021781614575113a0f109abdab33fe1ed279b0fa336a1f43d3ec7, temperature, 0
[2026-06-16T20:56:19.899+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 92, total-tokens, 1491, cost-ms, 2716, requestId, 021781614578385a0f109abdab33fe1ed279b0fa336a1f4bcc315, temperature, 0
[2026-06-16T20:56:24.583+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 90, total-tokens, 1489, cost-ms, 3767, requestId, 021781614582009a0f109abdab33fe1ed279b0fa336a1f46dc9a2, temperature, 0
[2026-06-16T20:57:54.615+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 64, total-tokens, 1463, cost-ms, 2178, requestId, 021781614673754d8f9f0d4d25eff57d82fede5f007857c8f96c3, temperature, 0
[2026-06-16T20:57:59.682+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 69, total-tokens, 1468, cost-ms, 4010, requestId, 021781614676861d8f9f0d4d25eff57d82fede5f007857ca95baf, temperature, 0
[2026-06-16T20:58:03.876+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 85, total-tokens, 1484, cost-ms, 4097, requestId, 021781614680976d8f9f0d4d25eff57d82fede5f007857c74c0e7, temperature, 0
[2026-06-16T20:58:06.461+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 79, total-tokens, 1478, cost-ms, 2477, requestId, 021781614685205d8f9f0d4d25eff57d82fede5f007857c1ef96f, temperature, 0
[2026-06-16T20:58:10.637+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 79, total-tokens, 1478, cost-ms, 3075, requestId, 021781614688768d8f9f0d4d25eff57d82fede5f007857cb3f9b4, temperature, 0
[2026-06-16T20:58:28.410+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 75, total-tokens, 1474, cost-ms, 2750, requestId, 02178161470705877ab73ca6276a7676e42a209e4d4de5ebafac5, temperature, 0
[2026-06-16T20:58:31.865+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 76, total-tokens, 1475, cost-ms, 3291, requestId, 02178161470976177ab73ca6276a7676e42a209e4d4de5e142ed4, temperature, 0
[2026-06-16T20:58:41.127+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 110, total-tokens, 1509, cost-ms, 9131, requestId, 02178161471319777ab73ca6276a7676e42a209e4d4de5ec02148, temperature, 0
[2026-06-16T20:58:51.951+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1399, completion-tokens, 81, total-tokens, 1480, cost-ms, 10690, requestId, 02178161472245477ab73ca6276a7676e42a209e4d4de5e737877, temperature, 0
[2026-06-16T20:59:50.439+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1401, completion-tokens, 81, total-tokens, 1482, cost-ms, 2854, requestId, 021781614788979e5f3cdd9b8aa13598e09014006f9dd978fb9a0, temperature, 0
[2026-06-16T20:59:53.627+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1401, completion-tokens, 86, total-tokens, 1487, cost-ms, 3050, requestId, 021781614791785e5f3cdd9b8aa13598e09014006f9dd976265a8, temperature, 0
[2026-06-16T20:59:56.677+08:00] model, doubao-seed-2.0-pro, mode, doubao-seed, prompt-tokens, 1386, completion-tokens, 55, total-tokens, 1441, cost-ms, 2927, requestId, 021781614794951e5f3cdd9b8aa13598e09014006f9dd97ae806a, temperature, 0
